localization_key,English_display,English_reference,preserved_tokens,strong_preserved_tokens,preserved_in_languages,available_languages,strong_threshold,very_strong_threshold,max_language_preservation,source_score,direct_reference_diff,signal_languages,discovery_reasons
goss_uhersky_v_hele_ja_to_3VcO,"Ez van, adok neki még egy hónapot, és ha nem lesz valami kiadós zsákmány, akkor szarok bele az egészbe.","Ez van, adok neki még egy hónapot, és ha nem lesz valami kiadós zsákmány, akkor szarok bele az egészbe.",Ez; van; adok; neki; még; egy; hónapot; és; ha; nem; lesz; valami; kiadós; zsákmány; akkor; szarok; bele; az; egészbe,van; adok; neki; még; egy; hónapot; nem; lesz; valami; kiadós; zsákmány; akkor; szarok; bele; egészbe,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,15,197,no,hungarian,two_strong_preserved_tokens; signal_support
goss_lapka_mlu_ja_za_to_n_Xsjk,"Hát én tehetek róla, hogy pont egy heringkereskedőt evett erre a fene? Csak nem hagyjuk kárba veszni!","Hát én tehetek róla, hogy pont egy heringkereskedőt evett erre a fene? Csak nem hagyjuk kárba veszni!",Hát; én; tehetek; róla; hogy; pont; egy; heringkereskedőt; evett; erre; a; fene; Csak; nem; hagyjuk; kárba; veszni,hát; tehetek; róla; hogy; pont; egy; heringkereskedőt; evett; erre; fene; csak; nem; hagyjuk; kárba; veszni,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,15,197,no,hungarian,two_strong_preserved_tokens; signal_support
goss_uhersky_v_nebud_blbe_F6X2,Don't be daft. You think they don't talk amongst themselves? All it'll take is a few days before she knows everything about me.,Don't be daft. You think they don't talk amongst themselves? All it'll take is a few days before she knows everything about me.,Don't; be; daft; You; think; they; don't; talk; amongst; themselves; All; it'll; take; is; a; few; days; before; she; knows; everything; about; me,don't; daft; think; talk; amongst; themselves; all; it'll; take; few; days; before; knows; everything; about,Chineses; Chineset; French; German; Italian; Japanese; Korean; Polish; Portuguese; Spanish; Turkish; Ukrainian,15,6,9,24,196,no,,two_strong_preserved_tokens
tara_taras_mura_humiliare_OcmR,"Humiliare sub potenti manu dei, contremisce et effuge,  invocato anobis sancto et terribili nomine, quem inferi tremunt.","Humiliare sub potenti manu dei, contremisce et effuge,  invocato anobis sancto et terribili nomine, quem inferi tremunt.",Humiliare; sub; potenti; manu; dei; contremisce; et; effuge; invocato; anobis; sancto; terribili; nomine; quem; inferi; tremunt,humiliare; sub; potenti; manu; dei; contremisce; effuge; invocato; anobis; sancto; terribili; nomine; quem; inferi; tremunt,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,30,196,no,,two_strong_preserved_tokens
stal_stalker_urcite_nekoh_M0ja,"Biztos van valakid, ugye? Annyi baj legyen, szívesen megvívok vele a szívedért. Meglátod, hogy rá fogok szolgálni.","Biztos van valakid, ugye? Annyi baj legyen, szívesen megvívok vele a szívedért. Meglátod, hogy rá fogok szolgálni.",Biztos; van; valakid; ugye; Annyi; baj; legyen; szívesen; megvívok; vele; a; szívedért; Meglátod; hogy; rá; fogok; szolgálni,biztos; van; valakid; ugye; annyi; baj; legyen; szívesen; megvívok; vele; szívedért; meglátod; hogy; fogok; szolgálni,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,14,194,no,,two_strong_preserved_tokens
sam__rabin_poradne_si_umy_Dcnq,Mir kenen shmuesn vegn dos oyfn veg. Ober koydem gey un ze oyb emetser darf noch hilfn.,Mir kenen shmuesn vegn dos oyfn veg. Ober koydem gey un ze oyb emetser darf noch hilfn.,Mir; kenen; shmuesn; vegn; dos; oyfn; veg; Ober; koydem; gey; un; ze; oyb; emetser; darf; noch; hilfn,mir; kenen; shmuesn; vegn; dos; oyfn; veg; ober; koydem; gey; oyb; emetser; darf; noch; hilfn,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,14,194,no,,two_strong_preserved_tokens
dial_stalker_no_to_by_slo_kJdn,"Na, erről lehet szó. Akkor meg van beszélve. Békibe hagyom azt a nőszemélyt, jó? Érted? Keine frau! Igen!","Na, erről lehet szó. Akkor meg van beszélve. Békibe hagyom azt a nőszemélyt, jó? Érted? Keine frau! Igen!",Na; erről; lehet; szó; Akkor; meg; van; beszélve; Békibe; hagyom; azt; a; nőszemélyt; jó; Érted; Keine; frau; Igen,erről; lehet; szó; akkor; meg; van; beszélve; békibe; hagyom; azt; nőszemélyt; érted; keine; frau; igen,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,14,194,no,,two_strong_preserved_tokens
ui_gearmaste_seq3_xrtF,"Henry won the previous discipline. In the event that he wins one and loses one, the last one is considered valid. If determining that is too arduous, the last victory is considered valid","Henry won the previous discipline - if he won one and lost one, the status from the most recent one will be valid, if it's too much work, victory will be valid.",won; the; previous; discipline; In; event; that; he; wins; one; and; loses; last; is; considered; valid; If; determining; too; arduous; victory,won; previous; discipline; event; wins; one; loses; last; considered; valid; determining; too; arduous; victory,Chineses; Chineset; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,14,5,8,56,189,yes,,two_strong_preserved_tokens; english_reference_differs
ui_lazebnice_seq3_2P2D,"Henry won the previous discipline. In the event that he wins one and loses one, the last one is considered valid. If determining that is too arduous, the last victory is considered valid","Henry won the previous discipline - if he won one and lost one, the status from the most recent one will be valid, if it's too much work, victory will be valid.",won; the; previous; discipline; In; event; that; he; wins; one; and; loses; last; is; considered; valid; If; determining; too; arduous; victory,won; previous; discipline; event; wins; one; loses; last; considered; valid; determining; too; arduous; victory,Chineses; Chineset; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,14,5,8,56,189,yes,,two_strong_preserved_tokens; english_reference_differs
ryti_dlc3_goss_copak_bene_0sLL,"Not just Benedict, but even Zacharias looked like he wanted to bash them over the head. And he barely ever even raises his voice.","Not just Benedict, but even Zachariah looked like he wanted to bash them over the head. And he barely ever even raises his voice.",Not; just; Benedict; but; even; Zacharias; looked; like; he; wanted; to; bash; them; over; the; head; And; barely; ever; raises; his; voice,just; benedict; even; zacharias; looked; like; wanted; bash; over; head; barely; ever; raises; voice,Chineses; Chineset; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,28,189,yes,,two_strong_preserved_tokens; english_reference_differs
bff__brabant_z_nejaka_fra_yIFb,"Quel putain de trou! Comment en sommes-nous arrivés là, et avec une telle bande de crétins? Que Dieu me protège!","!P Quel putain de trou! Comment en sommes-nous arrivés là, et avec une telle bande de crétins? Que Dieu me protège!",Quel; putain; de; trou; Comment; en; sommes-nous; arrivés; là; et; avec; une; telle; bande; crétins; Que; Dieu; me; protège,quel; putain; trou; comment; sommes-nous; arrivés; avec; une; telle; bande; crétins; que; dieu; protège,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,30,189,yes,,two_strong_preserved_tokens; english_reference_differs
goss_uhersky_v_zasrane_je_UyXu,"A faszomba, hát mondom, hogy nincs pénzem. Menj el Grozavhoz vagy Chertanhoz, és vedd rá őket, hogy fizessék ki a zsoldunkat...","A faszomba, hát mondom, hogy nincs pénzem. Menj el Grozavhoz vagy Chertanhoz, és vedd rá őket, hogy fizessék ki a zsoldunkat...",A; faszomba; hát; mondom; hogy; nincs; pénzem; Menj; el; Grozavhoz; vagy; Chertanhoz; és; vedd; rá; őket; fizessék; ki; a; zsoldunkat,faszomba; hát; mondom; hogy; nincs; pénzem; menj; grozavhoz; vagy; chertanhoz; vedd; őket; fizessék; zsoldunkat,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,30,186,no,hungarian,two_strong_preserved_tokens; signal_support
sam__pogrom_st_jasny_bro__UYa2,"Dos nemt a bisl tsayt, biz zey durkhshloygn! Ich hof nor az zey hobn nisht keyn baran!","Dos nemt a bisl tsayt, biz zey durkhshloygn! Ich hof nor az zey hobn nisht keyn baran!",Dos; nemt; a; bisl; tsayt; biz; zey; durkhshloygn; Ich; hof; nor; az; hobn; nisht; keyn; baran,dos; nemt; bisl; tsayt; biz; zey; durkhshloygn; ich; hof; nor; hobn; nisht; keyn; baran,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,24,186,no,german,two_strong_preserved_tokens; signal_support
goss_lapka_mlu_no_to_ceka_ors1,"Hát pont ez az, a várakozás! Bámulsz ki a fejedből és azon görcsölsz, hogy nem téved-e erre egy csapat zsandár.","Hát pont ez az, a várakozás! Bámulsz ki a fejedből és azon görcsölsz, hogy nem téved-e erre egy csapat zsandár.",Hát; pont; ez; az; a; várakozás; Bámulsz; ki; fejedből; és; azon; görcsölsz; hogy; nem; téved-e; erre; egy; csapat; zsandár,hát; pont; várakozás; bámulsz; fejedből; azon; görcsölsz; hogy; nem; téved-e; erre; egy; csapat; zsandár,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,30,186,no,hungarian,two_strong_preserved_tokens; signal_support
goss_gossip_hu_neprehanej_0eeQ,Don't lay it on so thick. You've got a long way to go before that. You were at it hammer and tongs with Maria in the tavern the other day…,Don't lay it on so thick. You've got a long way to go before that. You were at it hammer and tongs with Maria in the tavern the other day…,Don't; lay; it; on; so; thick; You've; got; a; long; way; to; go; before; that; You; were; at; hammer; and; tongs; with; Maria; in; the; tavern; other; day,don't; lay; thick; you've; got; long; way; before; hammer; tongs; maria; tavern; other; day,Chineses; Chineset; French; German; Italian; Japanese; Korean; Portuguese; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,18,184,no,,two_strong_preserved_tokens
sam__rabin_nikdy_zadnymu__FD3t,"Yom iro, ani eyleykho evtokh. Ven ikh hob gehat moyres, bin ikh soymekh oyf ha-shem.","Yom iro, ani eyleykho evtokh. Ven ikh hob gehat moyres, bin ikh soymekh oyf ha-shem.",Yom; iro; ani; eyleykho; evtokh; Ven; ikh; hob; gehat; moyres; bin; soymekh; oyf; ha-shem,yom; iro; ani; eyleykho; evtokh; ven; ikh; hob; gehat; moyres; bin; soymekh; oyf; ha-shem,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,24,184,no,,two_strong_preserved_tokens
goss_lapka_mlu_dyt_jen_se_eC19,"Dehát csak itt trónolsz a bozótban és várod, hogy valami balfasz erre kolbászoljon, ebben mi olyan fárasztó?","Dehát csak itt trónolsz a bozótban és várod, hogy valami balfasz erre kolbászoljon, ebben mi olyan fárasztó?",Dehát; csak; itt; trónolsz; a; bozótban; és; várod; hogy; valami; balfasz; erre; kolbászoljon; ebben; mi; olyan; fárasztó,dehát; csak; itt; trónolsz; bozótban; várod; hogy; valami; balfasz; erre; kolbászoljon; ebben; olyan; fárasztó,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,15,183,no,,two_strong_preserved_tokens
goss_lapka_mlu_takze_mi_u_nuBN,"Tegyél meg nekem egy szívességet! Eridj, basszál be, aludd ki magad rendesen és felejtsd el ezt a világvége marhaságot.","Tegyél meg nekem egy szívességet! Eridj, basszál be, aludd ki magad rendesen és felejtsd el ezt a világvége marhaságot.",Tegyél; meg; nekem; egy; szívességet; Eridj; basszál; be; aludd; ki; magad; rendesen; és; felejtsd; el; ezt; a; világvége; marhaságot,tegyél; meg; nekem; egy; szívességet; eridj; basszál; aludd; magad; rendesen; felejtsd; ezt; világvége; marhaságot,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,15,183,no,,two_strong_preserved_tokens
goss_lapka_mlu_ale_ja_nic_G70P,"Én meg hozzá se nyúltam. Csak álltam ott, és azon agyaltam, hogy vajon ki az, aki fátylat varr a békáknak.","Én meg hozzá se nyúltam. Csak álltam ott, és azon agyaltam, hogy vajon ki az, aki fátylat varr a békáknak.",Én; meg; hozzá; se; nyúltam; Csak; álltam; ott; és; azon; agyaltam; hogy; vajon; ki; az; aki; fátylat; varr; a; békáknak,meg; hozzá; nyúltam; csak; álltam; ott; azon; agyaltam; hogy; vajon; aki; fátylat; varr; békáknak,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,15,183,no,,two_strong_preserved_tokens
goss_gossip_na_mmmmmm_agu7,"""...Könnt' ich jetzt schon eigentlich von deinem Bette freilich dich schützen vor Gespenstern.""",Könnt' ich jetzt schon eigentlich von deinem Bette freilich dich schützen vor Gespenstern,Könnt; ich; jetzt; schon; eigentlich; von; deinem; Bette; freilich; dich; schützen; vor; Gespenstern,könnt; ich; jetzt; schon; eigentlich; von; deinem; bette; freilich; dich; schützen; vor; gespenstern,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,15,178,yes,german,two_strong_preserved_tokens; english_reference_differs; signal_support
chat_event_tab_guten_tag__qFbf,"Guten Tag, Pilger! Geht hier nicht weiter, die Straßen sind schlecht und gefährlich.","Guten Tag, Pilger! Hör auf hier, die Straßen sind schlecht und gefährlich.",Guten; Tag; Pilger; Geht; hier; nicht; weiter; die; Straßen; sind; schlecht; und; gefährlich,guten; tag; pilger; geht; hier; nicht; weiter; die; strassen; sind; schlecht; und; gefährlich,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,15,178,yes,german,two_strong_preserved_tokens; english_reference_differs; signal_support
goss_lapka_mlu_sel_sem_po_rYDJ,Az erdőben voltam és egyszerre csak gyönyörű ének üti meg a fülemet. Tisztára mint az angyalok kara.,Az erdőben voltam és egyszerre csak gyönyörű ének üti meg a fülemet. Tisztára mint az angyalok kara.,Az; erdőben; voltam; és; egyszerre; csak; gyönyörű; ének; üti; meg; a; fülemet; Tisztára; mint; az; angyalok; kara,erdőben; voltam; egyszerre; csak; gyönyörű; ének; üti; meg; fülemet; tisztára; mint; angyalok; kara,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,30,172,no,,two_strong_preserved_tokens
goss_lapka_mlu_no_pak_se__c7wE,"Aztán egyik a másik után elkezdtek felfújódni és szétpukkantak. És apám, egy csomó arany szóródott ki belőlük.","Aztán egyik a másik után elkezdtek felfújódni és szétpukkantak. És apám, egy csomó arany szóródott ki belőlük.",Aztán; egyik; a; másik; után; elkezdtek; felfújódni; és; szétpukkantak; És; apám; egy; csomó; arany; szóródott; ki; belőlük,aztán; egyik; másik; után; elkezdtek; felfújódni; szétpukkantak; apám; egy; csomó; arany; szóródott; belőlük,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,28,172,no,,two_strong_preserved_tokens
goss_uhersky_v_hele_mam_t_TO8b,"Figyelj, van egy remek ötletem. Szedj össze néhány cimborát és vívjunk meg egy pár küzdelmet.","Figyelj, van egy remek ötletem. Szedj össze néhány cimborát és vívjunk meg egy pár küzdelmet.",Figyelj; van; egy; remek; ötletem; Szedj; össze; néhány; cimborát; és; vívjunk; meg; pár; küzdelmet,figyelj; van; egy; remek; ötletem; szedj; össze; néhány; cimborát; vívjunk; meg; pár; küzdelmet,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,28,172,no,,two_strong_preserved_tokens
goss_lapka_mlu_ja_mne_je__7e3N,"Én? Nekem aztán mindegy, adj egy kis zabot, vagy bármit. De ha állandóan döglött halat zabálok.","Én? Nekem aztán mindegy, adj egy kis zabot, vagy bármit. De ha állandóan döglött halat zabálok.",Én; Nekem; aztán; mindegy; adj; egy; kis; zabot; vagy; bármit; De; ha; állandóan; döglött; halat; zabálok,nekem; aztán; mindegy; adj; egy; kis; zabot; vagy; bármit; állandóan; döglött; halat; zabálok,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,15,171,no,,two_strong_preserved_tokens
npc__nalezeny__zdalo_se_m_os4U,Azt hittem van ott valami. De nem láttam semmit. Meg kell dupláznunt az őrséget.,"I thought there was something strange going on, but I didn't find anything. We should double the guard anyway.",Azt; hittem; van; ott; valami; De; nem; láttam; semmit; Meg; kell; dupláznunt; az; őrséget,azt; hittem; van; ott; valami; nem; láttam; semmit; meg; kell; dupláznunt; őrséget,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,15,166,yes,hungarian,two_strong_preserved_tokens; english_reference_differs; signal_support
dial_vasko_menj_vele_muta_sk1b,"Menj vele, és mutasd meg neki, hogy melyikük az! Aztán majd csak lesz valahogy.","Menj vele, mutasd meg neki, hogy ki ő, és valahogy majd kiderül!",Menj; vele; és; mutasd; meg; neki; hogy; melyikük; az; Aztán; majd; csak; lesz; valahogy,menj; vele; mutasd; meg; neki; hogy; melyikük; aztán; majd; csak; lesz; valahogy,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,14,165,yes,hungarian,two_strong_preserved_tokens; english_reference_differs; signal_support
zabi_papezsky__pro_rany_b_4dxO,"Per l'amor di Dio, mi lasci in pace! Io sono un uomo di chieza! Capite? Io non ho fatto nulla!","!P Per l'amor di Dio, mi lasci in pace! Io sono un uomo di chieza! Capite? Io non ho fatto nulla!",Per; l'amor; di; Dio; mi; lasci; in; pace; Io; sono; un; uomo; chieza; Capite; non; ho; fatto; nulla,per; l'amor; dio; lasci; pace; sono; uomo; chieza; capite; non; fatto; nulla,Chineses; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,26,165,yes,,two_strong_preserved_tokens; english_reference_differs
npc__npc_oznac_tak_snad_t_jQrM,"Remélem, senki más nem ivott abból a rohadt borból... Na most, új borra lesz szükségünk.","I just hope no one else drank the spoilt wine... Well, we're going to need some new wine.",Remélem; senki; más; nem; ivott; abból; a; rohadt; borból; Na; most; új; borra; lesz; szükségünk,remélem; senki; más; nem; ivott; abból; rohadt; borból; most; borra; lesz; szükségünk,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,14,165,yes,hungarian,two_strong_preserved_tokens; english_reference_differs; signal_support
rozl_obchodnic_vielen_dan_Jbzx,"Vielen Dank! Es war mir eine Freude, mit dir Geschäfte zu machen, mein Freund!","Vielen Dank! Es war mir eine Freude, mit Dir Geschäfte zu machen, mein Freund!",Vielen; Dank; Es; war; mir; eine; Freude; mit; dir; Geschäfte; zu; machen; mein; Freund,vielen; dank; war; mir; eine; freude; mit; dir; geschäfte; machen; mein; freund,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,15,163,no,german; hungarian,two_strong_preserved_tokens; signal_support
