localization_key,speaker_context,original_display_text,foreign_fragment,source_language,verified_meaning,line_type,reference_source,test_status,notes
gree_pozdrav_m_mein_gott__RrST,full-foreign review batch 001,Mein Gott! Ist das Blut?,,German,My God! Is that blood?,full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
gree_pozdrav_n_mein_gott__eRz5,full-foreign review batch 001,!P Mein Gott! Das ist Blut?,,German,My God! Is that blood?,full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
gree_pozdrav_n_mein_gott__veig,full-foreign review batch 001,!P Mein Gott! Das ist Blut?,,German,My God! Is that blood?,full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
gree_pozdrav_z_mein_gott__7VG5,full-foreign review batch 001,!P Mein Gott! Das ist Blut?,,German,My God! Is that blood?,full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
opon_oponent_s_das_hilft__GycN,full-foreign review batch 001,Das hilft dir nicht weiter!,,German,That won't help you!,full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
pozd_pozdrav_n_schon_dich_51zb,full-foreign review batch 001,"Schön dich zu sehen, mein Freund!",,German,"Nice to see you, my friend!",full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
pozd_pozdrav_n_schon_dich_jmpr,full-foreign review batch 001,"Schön dich zu sehen, mein Freund!",,German,"Nice to see you, my friend!",full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
samo_samomluva_gut_das_is_mUWY,full-foreign review batch 001,Gut ... Das ist gut.,,German,Good ... That's good.,full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
smlo_smlouvani_ja_das_ist_6DXx,full-foreign review batch 001,"Ja, das ist gut.",,German,"Yes, that's good.",full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
smlo_smlouvani_ja_das_ist_z1CC,full-foreign review batch 001,"Ja, das ist gut.",,German,"Yes, that's good.",full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
spec_oswald_to_hm_was_fur_JEMX,full-foreign review batch 001,"Hm, das ist ja eine Überraschung.",,German,"Hmm, now that's a surprise.",full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
vyvo_vyvolavan_einkaufen__QRDo,full-foreign review batch 001,"Kauft ein, kauft ein! Ich schließe bald … Kommt und kauft, Leute!",,German,"Buy, buy! I'm closing soon … Come and buy, people!",full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
vyvo_vyvolavan_geschaft_i_8fbg,full-foreign review batch 001,"Kauft ein, kauft ein! Ich schließe bald … Kommt und kauft, Leute!",,German,"Buy, buy! I'm closing soon … Come and buy, people!",full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
gree_obchodnik_wie_kann_i_cSy3,full-foreign review batch 001,"Wie kann ich dir helfen, mein Freund?",,German,"How can I help you, my friend?",full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
gree_pozdrav_m_gru_dich_a_qepG,full-foreign review batch 001,Grüß dich … Aber du bist ja voller Blut!,,German,Hello … But you're covered in blood!,full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
gree_pozdrav_m_gru_dich_w_KvFt,full-foreign review batch 001,Grüß dich! Wie kann ich dir helfen?,,German,Hello! How can I help you?,full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
gree_pozdrav_m_mazel_tov_F73e,full-foreign review batch 001,Mazel tov!,,Yiddish/Hebrew,Congratulations!,full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
gree_pozdrav_m_mein_freun_NkqT,full-foreign review batch 001,"Mein Freund, ich wäre jetzt auch gerne betrunken.",,German,"My friend, I'd like to be drunk now too.",full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
gree_pozdrav_m_wie_kann_i_laXM,full-foreign review batch 001,"Wie kann ich dir helfen, mein Freund?",,German,"How can I help you, my friend?",full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
gree_pozdrav_n_gruss_gott_O07K,full-foreign review batch 001,"Grüß Gott, Freund!",,German,"God greet you, friend!",full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
gree_pozdrav_z_gru_dich_a_pT7X,full-foreign review batch 001,Grüß dich … aber du bist ja voller Blut!,,German,Hello … but you're covered in blood!,full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
gree_pozdrav_z_gru_dich_w_Qobd,full-foreign review batch 001,Grüß dich! Wie kann ich dir helfen?,,German,Hello! How can I help you?,full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
gree_pozdrav_z_mein_freun_XHAj,full-foreign review batch 001,"Mein Freund, ich wäre jetzt auch gerne betrunken.",,German,"My friend, I'd like to be drunk now too.",full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
gree_pozdrav_z_wie_kann_i_OVJr,full-foreign review batch 001,"Wie kann ich dir helfen, mein Freund?",,German,"How can I help you, my friend?",full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
horn_pozdrav_h_gruss_gott_kZMq,full-foreign review batch 001,"Grüß Gott, Freund!",,German,"God greet you, friend!",full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
laze_lazebnice_das_ist_al_Z4d0,full-foreign review batch 001,"Fertig! Das ist alles, mein Freund.",,German,"Done! That's all, my friend.",full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
laze_lazebnice_hm_es_ist__2Q0t,full-foreign review batch 001,"Hm, nicht schlecht ... nicht schlecht, mein Freund.",,German,"Hmm, not bad ... not bad, my friend.",full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
muz__hospodsky_ja_warum_n_0BZM,full-foreign review batch 001,"Ja, warum nicht?",,German,"Yes, why not?",full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
pozd_pozdrav_n_gott_segne_L3JS,full-foreign review batch 001,"Gott segne dich, mein Freund!",,German,"God bless you, my friend!",full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
pozd_pozdrav_n_gott_segne_dfFz,full-foreign review batch 001,"Gott segne dich, mein Freund!",,German,"God bless you, my friend!",full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
pozd_pozdrav_n_gru_gott_m_9RUG,full-foreign review batch 001,"Grüß Gott, meine Damen!",,German,"God greet you, ladies!",full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
pozd_sousedsky_zaj_gezunt_9dX9,full-foreign review batch 001,Mazel tov!,,Yiddish/Hebrew,Congratulations!,full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
pozd_uctivy_po_gru_gott_m_f0Sp,full-foreign review batch 001,"Grüß Gott, meine Herrin!",,German,"God greet you, my lady!",full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
reme_remeslnik_ich_kann_d_WP7p,full-foreign review batch 001,"Mein Gott, ich kann nicht mehr.",,German,"My God, I can't go on anymore.",full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
rozh_kupec_vel_jo_proc_ne_ninO,full-foreign review batch 001,"Gut, warum nicht?",,German,"Good, why not?",full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
situ_situace_m_ich_habe_n_72P7,full-foreign review batch 001,Aber ich habe doch nichts getan!,,German,But I haven't done anything!,full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
tara_taras_mura_benedictu_nlNF,full-foreign review batch 001,Benedictus deus. Gloria patri.,,Latin,Blessed be God. Glory be to the Father.,full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
ulri_event_tab_ja_ja_gute_aVZi,full-foreign review batch 001,"Gute Reise und auf Wiedersehen, mein Freund.",,German,"Have a good journey and goodbye, my friend.",full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
vyhe_dlc2_stre_bis_bald_m_JCkF,full-foreign review batch 001,"Bis bald, mein Freund! Gott segne dich.",,German,"See you soon, my friend! God bless you.",full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
zena_hospodska_ja_warum_n_lNay,full-foreign review batch 001,"Ja, warum nicht?",,German,"Yes, why not?",full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
comb_hans_plum_das_ist_ni_fmpS,full-foreign review batch 001,Das ist nicht schwierig.,,German,That's not difficult.,full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
endi_rozloucen_gott_mit_d_aMhC,full-foreign review batch 001,"Gott sei mit dir, mein Herr!",,German,"God be with you, sir!",full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
endi_rozloucen_gott_mit_d_ffjt,full-foreign review batch 001,"Gott sei mit dir, mein Herr!",,German,"God be with you, sir!",full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
gree_pozdrav_m_mein_gott__PpjJ,full-foreign review batch 001,Mein Gott! Hier ist ein nackter Narr.,,German,My God! There's a naked fool here.,full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
gree_pozdrav_m_servus_und_YMs9,full-foreign review batch 001,Servus... und ich fühle dich auch!,,German,Hello ... and I feel you too!,full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
gree_pozdrav_n_gruss_gott_elp7,full-foreign review batch 001,"!P Grüss Gott, Mann!",,German,"God greet you, man!",full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
gree_pozdrav_n_mein_gott__3XRV,full-foreign review batch 001,Mein Gott! Hier ist ein nackter Narr!,,German,My God! There's a naked fool here!,full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
gree_pozdrav_n_mein_gott__dEt3,full-foreign review batch 001,!P Mein Gott! Hier ist ein nackter Narr!,,German,My God! There's a naked fool here!,full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
gree_pozdrav_z_mein_gott__QmXQ,full-foreign review batch 001,Mein Gott! Hier ist ein nackter Narr.,,German,My God! There's a naked fool here.,full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
gree_pozdrav_z_servus_und_guyD,full-foreign review batch 001,!P Servus... und ich fühle dich auch!,,German,Hello ... and I feel you too!,full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
hosp_hospodsky_eh_scheiss_4HCN,full-foreign review batch 001,"Ah, Scheiße! Ist das kalt!",,German,"Ah, shit! Is that cold!",full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
hosp_hospodsky_eh_scheiss_i3up,full-foreign review batch 001,"Scheiße, ist das kalt!",,German,"Shit, is that cold!",full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
hosp_hospodsky_oy_oy_vey_OSY6,full-foreign review batch 001,"Oy, oy vey!",,Yiddish/Hebrew,"Oh, oh, woe is me!",full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
hosp_hospodsky_oy_oy_vey_s9Of,full-foreign review batch 001,"Oy, oy vey!",,Yiddish/Hebrew,"Oh, oh, woe is me!",full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
hosp_hospodyne_kommt_scho_hd3d,full-foreign review batch 001,"Kommt, meine Damen. Kommt!",,German,"Come, ladies. Come!",full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
hosp_hospodyne_so_so_gutes_XrTs,full-foreign review batch 001,Du machst das gut meine Liebe.,,German,"You're doing well, my dear.",full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
kost_kostky_he_oy_oy_vej_c99q,full-foreign review batch 001,"Oy, oy vey...",,Yiddish/Hebrew,"Oh, oh, woe is me ...",full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
kost_kostky_pr_mein_gott__9znY,full-foreign review batch 001,"Mein Gott, warum?!",,German,"My God, why?!",full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
krov_kostkar_k_oy_oy_vej_o0vE,full-foreign review batch 001,"Oy, oy vey!",,Yiddish/Hebrew,"Oh, oh, woe is me!",full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
laze_lazebnice_ich_finde__vKry,full-foreign review batch 001,"Ich hoffe, es gefiel dir, mein Herr.",,German,"I hope you liked it, sir.",full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
muz__hospodsky_es_ist_ein_OyyC,full-foreign review batch 001,"Es ist eine Ehre, mein Herr.",,German,"It's an honor, sir.",full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
nech_npc_vyrus_hmm_das_is_0V5H,full-foreign review batch 001,"Hmm, das ist meine ...",,German,"Hmm, that's my ...",full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
npc__npc_naslo_mein_gott__PPex,full-foreign review batch 001,Mein Gott... Warum!?,,German,My God ... Why!?,full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
o_zi_otte_koch_das_ist_do_hNLD,full-foreign review batch 001,Ist das nicht offensichtlich?,,German,Isn't that obvious?,full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
posl_event_hla_das_ist_bl_grGR,full-foreign review batch 001,Das ist Blödsinn! Das ist alles Unsinn!,,German,That's nonsense! That's all nonsense!,full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
posl_event_hla_das_ist_bl_wsA2,full-foreign review batch 001,Das ist Blödsinn! Das ist alles Unsinn!,,German,That's nonsense! That's all nonsense!,full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
posl_event_hla_ja_das_ist_XL3j,full-foreign review batch 001,"Ja, das ist richtig! Jeder sollte das hören!",,German,"Yes, that's right! Everyone should hear that!",full,FTFL full-foreign batch 001 manual/model review,playtest,broad stability build; preserve original performance and add English meaning
